"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","1,294.40","1,289.80","1,302.03","1,283.82","","0.40%"
"12/28/2023","1,289.23","1,294.88","1,295.64","1,285.13","","-0.27%"
"12/27/2023","1,292.78","1,294.95","1,296.46","1,291.72","","-0.09%"
"12/26/2023","1,293.99","1,296.39","1,300.15","1,291.82","","-0.11%"
"12/25/2023","1,295.43","1,298.72","1,299.45","1,296.12","","-0.14%"
"12/22/2023","1,297.25","1,296.95","1,303.93","1,295.80","","0.18%"
"12/21/2023","1,294.86","1,303.31","1,307.87","1,295.91","","-0.63%"
"12/20/2023","1,303.08","1,300.84","1,305.17","1,297.06","","0.22%"
"12/19/2023","1,300.21","1,303.94","1,310.57","1,299.72","","-0.21%"
"12/18/2023","1,302.89","1,302.10","1,305.36","1,296.26","","0.19%"
"12/15/2023","1,300.40","1,289.95","1,304.79","1,287.97","","0.91%"
"12/14/2023","1,288.65","1,305.96","1,306.64","1,288.31","","-0.48%"
"12/13/2023","1,294.83","1,312.48","1,321.32","1,294.40","","-1.23%"
"12/12/2023","1,310.90","1,316.73","1,319.28","1,307.05","","-0.41%"
"12/11/2023","1,316.25","1,316.10","1,321.52","1,314.34","","-0.01%"
"12/08/2023","1,316.41","1,314.09","1,320.44","1,304.33","","0.26%"
"12/07/2023","1,313.00","1,315.44","1,327.93","1,311.69","","-0.24%"
"12/06/2023","1,316.15","1,313.69","1,318.18","1,309.91","","0.20%"
"12/05/2023","1,313.58","1,310.67","1,318.74","1,307.89","","0.29%"
"12/04/2023","1,309.75","1,293.95","1,313.30","1,293.73","","1.26%"
"12/01/2023","1,293.40","1,300.91","1,308.78","1,293.97","","-0.46%"
"11/30/2023","1,299.35","1,290.66","1,301.61","1,286.42","","0.63%"
"11/29/2023","1,291.17","1,288.35","1,294.47","1,285.14","","0.30%"
"11/28/2023","1,287.25","1,298.41","1,298.91","1,285.70","","-0.75%"
"11/27/2023","1,296.95","1,301.95","1,308.60","1,297.65","","-0.46%"
"11/24/2023","1,302.97","1,301.22","1,308.83","1,296.65","","0.21%"
"11/23/2023","1,300.20","1,300.78","1,303.52","1,295.47","","-0.05%"
"11/22/2023","1,300.90","1,296.03","1,306.03","1,290.80","","0.49%"
"11/21/2023","1,294.52","1,288.51","1,296.63","1,283.53","","0.59%"
"11/20/2023","1,286.92","1,295.75","1,299.96","1,285.60","","-0.57%"
"11/17/2023","1,294.35","1,292.84","1,301.06","1,289.45","","0.16%"
"11/16/2023","1,292.34","1,305.11","1,310.16","1,287.60","","-0.94%"
"11/15/2023","1,304.61","1,305.10","1,308.53","1,296.81","","0.00%"
"11/14/2023","1,304.65","1,319.47","1,330.45","1,302.83","","-1.10%"
"11/13/2023","1,319.11","1,318.10","1,326.35","1,317.25","","0.20%"
"11/10/2023","1,316.51","1,318.27","1,321.94","1,314.06","","-0.04%"
"11/09/2023","1,317.04","1,309.11","1,318.70","1,302.31","","0.71%"
"11/08/2023","1,307.71","1,304.95","1,315.23","1,298.44","","0.25%"
"11/07/2023","1,304.49","1,299.31","1,313.16","1,298.60","","0.48%"
"11/06/2023","1,298.29","1,307.95","1,312.90","1,291.77","","-0.76%"
"11/03/2023","1,308.23","1,334.33","1,336.92","1,304.21","","-1.90%"
"11/02/2023","1,333.59","1,348.82","1,349.38","1,328.52","","-1.05%"
"11/01/2023","1,347.79","1,353.15","1,359.76","1,348.12","","-0.32%"
"10/31/2023","1,352.15","1,346.49","1,356.01","1,345.26","","0.48%"
"10/30/2023","1,345.63","1,357.05","1,357.45","1,345.52","","-0.68%"
"10/27/2023","1,354.91","1,353.57","1,358.34","1,347.76","","0.16%"
"10/26/2023","1,352.69","1,352.90","1,360.72","1,351.70","","0.02%"
"10/25/2023","1,352.44","1,344.34","1,354.15","1,343.22","","0.64%"
