Date,Price,Open,High,Low,Vol.,Change %
2023-12-29,376.87,376.95,377.46,375.27,3.36M,-0.04%
2023-12-28,377.03,376.52,377.69,376.52,2.62M,0.12%
2023-12-27,376.56,375.1,376.79,374.75,3.06M,0.32%
2023-12-26,375.35,373.68,376.09,373.58,2.22M,0.41%
2023-12-22,373.8,373.64,375.31,372.58,3.33M,-0.02%
2023-12-21,373.88,372.89,374.13,371.16,3.84M,0.83%
2023-12-20,370.8,374.67,376.34,370.61,4.56M,-1.25%
2023-12-19,375.5,373.24,375.56,373.12,3.75M,0.68%
2023-12-18,372.98,373.29,373.87,372.76,3.40M,0.09%
2023-12-15,372.63,371.74,373.39,371.33,6.95M,-0.19%
2023-12-14,373.33,372.71,373.67,371.26,5.51M,0.43%
2023-12-13,371.74,366.6,371.74,366.0,4.30M,1.45%
2023-12-12,366.41,365.41,366.68,364.43,3.24M,0.47%
2023-12-11,364.69,363.6,364.87,363.0,3.67M,0.43%
2023-12-08,363.12,361.76,363.68,361.38,2.93M,0.36%
2023-12-07,361.83,361.96,362.36,360.93,3.30M,0.17%
2023-12-06,361.22,362.81,363.55,360.83,5.58M,-0.19%
2023-12-05,361.91,361.86,362.26,360.7,5.37M,-0.20%
2023-12-04,362.64,361.15,362.95,361.02,4.21M,-0.11%
2023-12-01,363.05,360.02,363.25,359.86,5.85M,0.85%
2023-11-30,360.0,356.71,360.18,356.45,4.09M,1.51%
2023-11-29,354.65,354.97,356.13,354.37,2.74M,0.15%
2023-11-28,354.11,353.49,355.14,353.09,2.76M,0.22%
2023-11-27,353.32,353.63,354.14,352.78,2.53M,-0.14%
2023-11-24,353.8,353.16,353.95,353.04,1.25M,0.35%
2023-11-22,352.56,351.89,353.14,351.5,3.49M,0.50%
2023-11-21,350.82,351.11,351.21,350.36,1.85M,-0.20%
2023-11-20,351.52,349.1,352.24,349.07,2.91M,0.60%
2023-11-17,349.43,349.78,350.22,348.73,2.06M,-0.17%
2023-11-16,350.02,349.58,350.8,348.75,3.85M,-0.07%
2023-11-15,350.27,349.29,350.78,348.98,3.15M,0.53%
2023-11-14,348.42,347.52,349.52,346.67,4.82M,1.41%
2023-11-13,343.57,342.38,344.3,342.23,2.62M,0.16%
2023-11-10,343.01,340.81,343.3,339.27,3.27M,1.15%
2023-11-09,339.11,342.01,342.05,338.77,3.94M,-0.59%
2023-11-08,341.12,342.1,342.59,339.94,2.79M,-0.12%
2023-11-07,341.54,340.73,342.07,340.3,2.79M,0.15%
2023-11-06,341.04,340.86,341.64,339.89,2.77M,0.13%
2023-11-03,340.61,340.12,341.61,339.39,4.05M,0.66%
2023-11-02,338.39,334.78,338.52,334.41,5.36M,1.72%
2023-11-01,332.68,330.92,333.36,330.1,4.55M,0.67%
2023-10-31,330.48,329.18,330.68,327.84,3.65M,0.38%
2023-10-30,329.23,326.39,330.02,326.37,4.62M,1.55%
2023-10-27,324.19,327.84,327.88,323.21,4.76M,-1.11%
2023-10-26,327.82,330.16,331.02,327.36,4.88M,-0.77%
2023-10-25,330.35,332.22,332.69,329.83,3.84M,-0.33%
2023-10-24,331.44,331.0,332.7,329.85,3.58M,0.64%
2023-10-23,329.32,329.9,332.33,328.88,3.90M,-0.56%
2023-10-20,331.19,333.38,334.23,331.13,3.96M,-0.88%
2023-10-19,334.12,336.69,338.62,333.76,5.20M,-0.75%
2023-10-18,336.63,339.74,339.97,336.0,4.14M,-0.99%
2023-10-17,339.99,338.33,341.52,338.27,3.78M,0.03%
2023-10-16,339.89,338.77,340.91,338.41,3.97M,0.95%
2023-10-13,336.68,337.48,339.61,335.52,5.16M,0.12%
2023-10-12,336.27,338.77,338.77,334.57,3.31M,-0.52%
2023-10-11,338.03,338.19,338.84,336.16,2.77M,0.17%
2023-10-10,337.45,337.2,339.01,336.03,3.77M,0.40%
2023-10-09,336.09,332.95,336.38,332.59,3.76M,0.60%
2023-10-06,334.1,330.35,335.64,328.48,4.49M,0.88%
2023-10-05,331.17,330.82,331.75,329.39,3.17M,0.05%
2023-10-04,330.99,330.13,331.46,328.61,4.88M,0.31%
2023-10-03,329.98,332.84,333.88,329.04,4.87M,-1.23%
2023-10-02,334.09,334.29,335.02,332.08,4.19M,-0.26%
2023-09-29,334.95,338.78,338.83,333.91,3.79M,-0.50%
2023-09-28,336.62,335.32,337.67,334.57,4.05M,0.35%
2023-09-27,335.43,336.88,337.15,332.93,4.44M,-0.18%
2023-09-26,336.04,337.87,338.74,335.55,4.66M,-1.16%
2023-09-25,339.98,338.73,340.07,337.69,3.10M,0.12%
2023-09-22,339.58,340.69,341.43,339.32,3.38M,-0.29%
2023-09-21,340.58,343.17,343.65,340.47,3.49M,-1.09%
2023-09-20,344.32,346.04,347.65,344.2,3.41M,-0.22%
2023-09-19,345.07,345.47,345.81,342.98,2.74M,-0.31%
2023-09-18,346.15,346.28,347.13,345.31,2.12M,0.00%
2023-09-15,346.14,348.26,348.85,345.6,3.58M,-1.09%
2023-09-14,349.94,348.66,350.63,347.73,3.49M,0.98%
2023-09-13,346.55,347.56,348.51,345.82,2.03M,-0.19%
2023-09-12,347.21,346.64,349.3,346.36,1.81M,-0.05%
2023-09-11,347.37,348.02,348.59,346.51,1.72M,0.25%
2023-09-08,346.51,345.77,347.04,345.48,1.67M,0.24%
2023-09-07,345.69,344.46,346.24,344.35,2.38M,0.20%
2023-09-06,345.0,346.45,346.51,343.46,2.75M,-0.57%
2023-09-05,346.98,349.08,349.27,346.9,1.91M,-0.57%
2023-09-01,348.98,349.93,350.36,347.75,2.53M,0.34%
2023-08-31,347.81,350.92,351.28,347.74,2.90M,-0.46%
2023-08-30,349.4,349.1,350.73,348.52,2.79M,0.22%
2023-08-29,348.62,345.56,348.75,345.4,3.11M,0.84%
2023-08-28,345.71,345.21,346.67,344.5,2.38M,0.64%
2023-08-25,343.5,342.46,344.55,340.35,3.87M,0.72%
2023-08-24,341.03,344.32,346.97,340.97,3.84M,-1.10%
2023-08-23,344.83,343.53,345.4,343.25,2.61M,0.55%
2023-08-22,342.96,344.79,345.14,342.57,2.82M,-0.50%
2023-08-21,344.67,345.3,345.72,342.49,3.18M,-0.13%
2023-08-18,345.12,342.95,345.91,342.68,3.53M,0.02%
2023-08-17,345.06,348.95,349.32,344.82,4.80M,-0.78%
2023-08-16,347.77,349.3,351.52,347.71,3.59M,-0.53%
2023-08-15,349.61,351.67,352.02,349.18,2.82M,-1.02%
2023-08-14,353.21,352.73,353.5,351.77,3.13M,0.06%
2023-08-11,353.0,351.19,353.72,350.61,2.60M,0.32%
2023-08-10,351.89,353.15,355.92,351.19,4.13M,0.17%
2023-08-09,351.28,352.87,353.68,350.54,2.87M,-0.49%
2023-08-08,353.02,352.42,353.35,349.92,3.03M,-0.45%
2023-08-07,354.62,352.04,354.87,351.88,2.39M,1.13%
2023-08-04,350.65,353.12,354.96,350.2,4.27M,-0.38%
2023-08-03,351.99,351.6,353.39,351.11,3.31M,-0.21%
2023-08-02,352.74,354.48,355.2,352.11,5.06M,-0.97%
2023-08-01,356.2,355.27,356.7,355.14,2.59M,0.18%
2023-07-31,355.57,354.57,355.6,354.19,2.20M,0.31%
2023-07-28,354.48,354.51,355.55,353.43,3.22M,0.48%
