Date,Price,Open,High,Low,Vol.,Change %
2023-12-29,409.52,411.28,411.64,407.58,42.66M,-0.43%
2023-12-28,411.3,412.67,412.92,410.94,27.03M,-0.05%
2023-12-27,411.5,410.95,411.79,410.08,31.98M,0.20%
2023-12-26,410.66,409.04,411.34,408.94,22.72M,0.61%
2023-12-22,408.17,408.79,409.75,406.27,34.31M,0.15%
2023-12-21,407.56,406.85,407.93,404.26,45.57M,1.16%
2023-12-20,402.87,408.14,410.25,402.69,54.04M,-1.49%
2023-12-19,408.95,407.33,409.07,407.13,35.71M,0.51%
2023-12-18,406.87,404.72,407.78,404.39,46.61M,0.43%
2023-12-15,405.13,403.97,406.33,403.36,62.90M,0.48%
2023-12-14,403.18,404.77,406.09,400.13,55.45M,-0.09%
2023-12-13,403.53,399.41,404.15,398.63,55.41M,1.27%
2023-12-12,398.46,395.35,398.58,394.2,39.22M,0.80%
2023-12-11,395.31,391.53,395.58,391.32,41.20M,0.85%
2023-12-08,391.96,388.47,392.41,388.28,46.69M,0.45%
2023-12-07,390.23,387.87,391.06,386.76,49.59M,1.40%
2023-12-06,384.85,390.07,390.17,384.5,41.99M,-0.58%
2023-12-05,387.09,384.19,388.3,384.01,42.93M,0.25%
2023-12-04,386.12,385.89,386.39,382.46,51.19M,-0.93%
2023-12-01,389.74,387.55,390.33,385.87,40.49M,0.29%
2023-11-30,388.63,389.88,390.35,385.62,52.83M,-0.25%
2023-11-29,389.61,392.48,393.93,389.26,38.81M,-0.10%
2023-11-28,389.99,388.21,390.57,387.85,35.49M,0.26%
2023-11-27,388.97,388.81,390.94,388.08,34.14M,-0.09%
2023-11-24,389.31,389.45,390.05,388.3,15.72M,-0.14%
2023-11-22,389.86,390.36,392.86,388.84,44.18M,0.41%
2023-11-21,388.27,388.81,389.03,386.5,43.34M,-0.58%
2023-11-20,390.53,385.85,391.2,385.85,44.54M,1.22%
2023-11-17,385.84,385.01,386.87,384.09,46.62M,0.02%
2023-11-16,385.75,384.64,385.99,383.36,45.34M,0.09%
2023-11-15,385.42,387.05,387.55,384.03,54.14M,0.08%
2023-11-14,385.13,383.51,386.06,382.98,67.79M,2.15%
2023-11-13,377.01,376.59,378.08,375.04,40.73M,-0.31%
2023-11-10,378.19,371.62,378.34,371.09,58.37M,2.25%
2023-11-09,369.88,373.44,374.6,369.38,53.86M,-0.77%
2023-11-08,372.74,372.88,373.59,370.43,35.66M,0.06%
2023-11-07,372.5,370.08,373.38,368.85,50.78M,0.95%
2023-11-06,369.02,368.3,369.59,366.72,38.85M,0.41%
2023-11-03,367.52,364.56,368.83,364.33,53.28M,1.17%
2023-11-02,363.25,361.35,363.49,360.11,58.16M,1.82%
2023-11-01,356.77,351.54,357.34,351.44,58.99M,1.74%
2023-10-31,350.69,349.05,351.07,346.44,47.67M,0.48%
2023-10-30,349.02,347.65,350.36,346.27,55.30M,1.13%
2023-10-27,345.13,346.25,348.66,343.9,63.48M,0.48%
2023-10-26,343.48,348.94,349.89,342.17,78.62M,-1.91%
2023-10-25,350.16,356.51,356.69,349.57,71.19M,-2.45%
2023-10-24,358.94,357.32,359.72,355.6,47.08M,0.97%
2023-10-23,355.48,353.07,359.07,350.94,60.67M,0.30%
2023-10-20,354.41,359.27,359.85,354.18,72.56M,-1.49%
2023-10-19,359.78,364.62,365.83,358.97,72.27M,-0.94%
2023-10-18,363.18,365.48,367.72,361.83,54.28M,-1.31%
2023-10-17,368.01,365.62,369.73,363.47,51.00M,-0.33%
2023-10-16,369.22,366.43,370.29,366.28,44.20M,1.13%
2023-10-13,365.09,370.38,370.97,363.67,52.52M,-1.26%
2023-10-12,369.74,371.53,373.54,367.31,49.59M,-0.35%
2023-10-11,371.03,369.75,371.22,368.0,38.22M,0.71%
2023-10-10,368.4,366.71,371.09,366.2,46.97M,0.55%
2023-10-09,366.37,362.11,366.92,360.59,45.30M,0.51%
2023-10-06,364.51,355.46,365.72,354.66,75.05M,1.68%
2023-10-05,358.5,359.55,359.96,354.95,45.90M,-0.29%
2023-10-04,359.56,355.58,360.42,355.11,54.79M,1.36%
2023-10-03,354.73,358.59,360.82,353.09,60.48M,-1.75%
2023-10-02,361.07,358.35,362.49,357.73,51.63M,0.83%
2023-09-29,358.08,361.35,362.76,356.83,64.83M,0.07%
2023-09-28,357.82,353.92,359.98,353.05,56.45M,0.84%
2023-09-27,354.85,355.19,356.79,351.18,56.07M,0.23%
2023-09-26,354.02,356.8,357.35,353.02,53.66M,-1.50%
2023-09-25,359.42,356.74,359.51,355.74,39.17M,0.47%
2023-09-22,357.72,359.44,361.61,357.4,51.59M,0.01%
2023-09-21,357.67,360.61,361.41,357.5,69.73M,-1.83%
2023-09-20,364.35,370.76,371.12,364.27,45.51M,-1.44%
2023-09-19,369.68,369.13,370.49,366.61,37.62M,-0.21%
2023-09-18,370.47,369.13,371.59,368.84,36.90M,-0.04%
2023-09-15,370.62,375.71,376.12,369.67,69.81M,-1.71%
