Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,71.84,72.15,72.8,71.47,63.48K,-0.18%
12/28/2023,71.97,74.04,74.62,71.92,94.29K,-3.19%
12/27/2023,74.34,75.57,75.81,74.01,80.38K,-1.81%
12/26/2023,75.71,73.74,76.31,73.32,56.76K,2.60%
12/22/2023,73.73,74.07,75.11,73.55,76.79K,-0.45%
12/21/2023,74.06,73.99,74.78,72.65,81.11K,-0.52%
12/20/2023,74.45,74.31,75.56,73.87,98.97K,0.69%
12/19/2023,73.94,72.93,74.45,72.14,230.04K,1.54%
12/18/2023,72.82,72.05,74.61,70.99,354.89K,1.45%
12/15/2023,71.78,71.91,72.56,70.64,262.87K,-0.18%
12/14/2023,71.91,70.08,72.73,69.82,224.16K,3.14%
12/13/2023,69.72,68.99,70.15,67.98,185.24K,1.26%
12/12/2023,68.85,71.67,72.2,68.49,189.45K,-3.79%
12/11/2023,71.56,71.36,72.03,70.61,119.85K,0.17%
12/08/2023,71.44,70.0,71.81,69.75,124.73K,2.66%
12/07/2023,69.59,69.57,70.7,69.08,144.37K,-0.09%
12/06/2023,69.65,72.33,72.84,69.39,183.91K,-3.97%
12/05/2023,72.53,73.59,74.34,72.24,142.71K,-1.08%
12/04/2023,73.32,74.76,75.2,72.87,158.42K,-1.25%
12/01/2023,74.25,75.71,76.81,74.13,127.63K,-2.37%
11/30/2023,76.05,77.79,79.67,75.16,209.44K,-2.49%
11/29/2023,77.99,76.67,78.18,75.87,112.41K,1.83%
11/28/2023,76.59,75.32,77.13,74.88,121.44K,2.00%
11/27/2023,75.09,75.57,76.42,74.35,84.35K,-0.90%
11/24/2023,75.77,76.94,77.25,75.32,74.98K,-0.75%
11/22/2023,77.25,77.92,78.11,73.98,99.86K,-0.86%
11/21/2023,77.92,77.69,78.04,77.04,69.05K,0.12%
11/20/2023,77.83,75.8,78.46,75.41,270.64K,2.35%
11/17/2023,76.04,73.11,76.19,72.91,368.48K,4.04%
11/16/2023,73.09,76.71,76.8,72.37,428.82K,-4.82%
11/15/2023,76.79,78.1,78.69,76.45,253.17K,-1.77%
11/14/2023,78.17,78.48,79.65,77.73,166.18K,-0.03%
11/13/2023,78.19,77.18,78.54,76.19,157.42K,1.35%
11/10/2023,77.15,75.65,77.71,75.36,159.39K,1.85%
11/09/2023,75.75,75.63,77.12,75.18,172.86K,0.58%
11/08/2023,75.31,77.03,77.43,74.92,219.20K,-2.46%
11/07/2023,77.21,80.69,80.79,76.99,198.96K,-4.21%
11/06/2023,80.6,80.76,81.9,80.33,131.58K,0.46%
11/03/2023,80.23,82.25,83.2,79.84,213.05K,-2.35%
11/02/2023,82.16,80.44,82.44,80.01,158.21K,2.57%
11/01/2023,80.1,80.98,82.82,79.96,160.14K,-0.50%
