Date,Price,Open,High,Low,Vol.,Change %
2023-12-29,"2,071.80","2,076.10","2,084.10","2,067.60",105720.0,-0.56%
2023-12-28,"2,083.50","2,089.50","2,098.20","2,074.60",129540.0,0.00%
2023-12-27,"2,083.40","2,068.00","2,085.30","2,063.30",590.0,1.12%
2023-12-26,"2,060.40","2,056.30","2,069.60","2,056.30",290.0,0.04%
2023-12-22,"2,059.60","2,051.50","2,072.30","2,049.40",440.0,0.87%
2023-12-21,"2,041.80","2,034.70","2,048.00","2,034.00",540.0,0.18%
2023-12-20,"2,038.10","2,043.50","2,045.90","2,031.60",260.0,-0.22%
2023-12-19,"2,042.60","2,031.00","2,050.00","2,025.40",470.0,0.58%
2023-12-18,"2,030.90","2,023.70","2,036.30","2,020.80",250.0,0.24%
2023-12-15,"2,026.00","2,038.00","2,049.60","2,020.00",630.0,-0.45%
2023-12-14,"2,035.20","2,031.60","2,053.00","2,030.60",560.0,2.37%
2023-12-13,"1,988.10","1,985.50","2,033.30","1,979.00",2220.0,0.21%
2023-12-12,"1,983.90","1,989.00","2,002.70","1,983.50",570.0,-0.02%
2023-12-11,"1,984.30","2,010.60","2,013.20","1,982.10",550.0,-1.03%
2023-12-08,"2,004.90","2,034.70","2,039.60","2,000.80",1370.0,-1.57%
2023-12-07,"2,036.90","2,034.70","2,047.30","2,027.40",530.0,-0.07%
2023-12-06,"2,038.40","2,028.30","2,042.80","2,027.00",680.0,0.57%
2023-12-05,"2,026.90","2,039.20","2,050.00","2,019.90",1420.0,-0.30%
2023-12-04,"2,032.90","2,083.40","2,140.70","2,030.00",2700.0,-2.28%
2023-12-01,"2,080.40","2,049.00","2,086.20","2,043.40",2010.0,1.60%
2023-11-30,"2,047.60","2,055.80","2,057.50","2,042.60",1150.0,-0.48%
2023-11-29,"2,057.50","2,053.20","2,062.30","2,047.50",1910.0,0.86%
2023-11-28,"2,040.00","2,014.30","2,044.10","2,011.50",174670.0,1.37%
2023-11-27,"2,012.40","2,002.50","2,018.90","2,001.40",251250.0,0.47%
2023-11-24,"2,003.00","1,991.20","2,004.50","1,990.90",214880.0,0.00%
2023-11-23,"2,003.00","1,991.20","2,004.50","1,990.90",214880.0,0.51%
2023-11-22,"1,992.80","2,000.30","2,008.30","1,988.60",199370.0,-0.44%
2023-11-21,"2,001.60","1,980.00","2,009.80","1,979.90",230020.0,1.08%
