Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,7.557806599228339
2006-07-05,7.739770551576508
2006-07-06,7.987115631423949
2006-07-07,8.208336733401504
2006-07-10,8.340648685869853
2006-07-11,8.66489587087299
2006-07-12,9.049837460112387
2006-07-13,10.611123957331458
2006-07-14,11.130406829517364
2006-07-17,11.463523888669744
2006-07-18,11.570624990296439
2006-07-19,11.789121635826854
2006-07-20,11.878454253366213
2006-07-21,11.800495231094455
2006-07-24,11.616116774553964
2006-07-25,11.481468369626544
2006-07-26,11.318626632537017
2006-07-27,11.299130778007695
2006-07-28,11.411962853128719
2006-07-31,11.515647200944937
2006-08-01,11.740972575565495
2006-08-02,12.012848794323045
2006-08-03,12.15886144934164
2006-08-04,12.333083860457318
2006-08-07,12.55256960806737
2006-08-08,12.765534004798745
2006-08-09,12.966145031279641
2006-08-10,12.939426610083101
2006-08-11,12.849256586649084
2006-08-14,12.738098470407209
2006-08-15,12.54077172497808
2006-08-16,12.381076602023382
2006-08-17,12.08561131705226
2006-08-18,11.814810152539255
2006-08-21,11.644965020890089
2006-08-22,11.464830808621475
2006-08-23,11.258226380580837
2006-08-24,11.053071704815341
2006-08-25,10.942125455910617
2006-08-28,10.75864726582687
2006-08-29,10.50556433101939
2006-08-30,10.32811693419741
2006-08-31,10.215722841547239
2006-09-01,10.073558085435067
2006-09-05,10.051471162417812
2006-09-06,9.95701145989477
2006-09-07,9.707321922005859
2006-09-08,9.363087041551918
2006-09-11,8.832491232188989
2006-09-12,8.296151974065761
2006-09-13,7.787906661900427
2006-09-14,7.219267857591973
2006-09-15,6.647530362817923
2006-09-18,6.219420195601176
2006-09-19,5.745212671650227
2006-09-20,5.2695535272201175
2006-09-21,4.7854795956083835
2006-09-22,4.402567293495577
2006-09-25,4.083818987717037
2006-09-26,3.718500995536984
2006-09-27,3.361789384821372
2006-09-28,3.136613642186398
2006-09-29,2.8586744318843724
2006-10-02,2.5771387492409525
2006-10-03,2.042121420174288
2006-10-04,1.3799381190398963
2006-10-05,0.774281307178347
2006-10-06,0.16835706911278625
2006-10-09,-0.3819281047604224
2006-10-10,-1.0145717700706929
2006-10-11,-1.6106752555501418
2006-10-12,-2.2197576889246786
