Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,0.3764253170042937
2006-07-05,0.32330738407492987
2006-07-06,0.27772506832902577
2006-07-07,0.22892854521116213
2006-07-10,0.169915615002319
2006-07-11,0.11418179979899645
2006-07-12,0.051113281325829596
2006-07-13,-0.12326887784404428
2006-07-14,-0.17782802140519582
2006-07-17,-0.22934875368515073
2006-07-18,-0.2732048566336591
2006-07-19,-0.3125680772904603
2006-07-20,-0.3613350212634112
2006-07-21,-0.41038725904946294
2006-07-24,-0.45954686432611014
2006-07-25,-0.5106108620996052
2006-07-26,-0.565858070088706
2006-07-27,-0.6231120462520302
2006-07-28,-0.6701324278565428
2006-07-31,-0.7106880657319837
2006-08-01,-0.7699253027158159
2006-08-02,-0.8200570101104766
2006-08-03,-0.8686598308133133
2006-08-04,-0.9163298668989588
2006-08-07,-0.9660635218724105
2006-08-08,-1.0227764292324888
2006-08-09,-1.08209120276929
2006-08-10,-1.1422928765819909
2006-08-11,-1.2001149192956087
2006-08-14,-1.255416883947989
2006-08-15,-1.3066097717178327
2006-08-16,-1.3488999697664426
2006-08-17,-1.3897078701055274
2006-08-18,-1.430202354399573
2006-08-21,-1.4792240332839077
2006-08-22,-1.5291383333807624
2006-08-23,-1.584435499492756
2006-08-24,-1.6399718524159999
2006-08-25,-1.6902728339512962
2006-08-28,-1.7405147677206463
2006-08-29,-1.7836410062731929
2006-08-30,-1.8226182709587302
2006-08-31,-1.8490473006665482
2006-09-01,-1.872053878030421
2006-09-05,-1.888367927281753
2006-09-06,-1.9113668756189142
2006-09-07,-1.937701234718392
2006-09-08,-1.9567918460452374
2006-09-11,-1.964775568626583
2006-09-12,-1.96812166216248
2006-09-13,-1.9686340582497612
2006-09-14,-1.9777224475524486
2006-09-15,-1.989511287201688
2006-09-18,-1.9837345093090666
2006-09-19,-1.976503556257879
2006-09-20,-1.9613527078818875
2006-09-21,-1.9518488254592041
2006-09-22,-1.9484733861466803
2006-09-25,-1.9317080846019195
2006-09-26,-1.904963997422478
2006-09-27,-1.8715580887718957
2006-09-28,-1.8378590757455782
2006-09-29,-1.8047026347068031
2006-10-02,-1.7787634000636938
2006-10-03,-1.750751934621081
2006-10-04,-1.715643601000627
