Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,-3.666968457208897
2006-07-05,-3.624068979569638
2006-07-06,-3.5685727576464643
2006-07-07,-3.5643829510243834
2006-07-10,-3.6188731427779572
2006-07-11,-3.602391000885779
2006-07-12,-3.5538033349174567
2006-07-13,-3.5144830323749128
2006-07-14,-3.4190884511359796
2006-07-17,-3.3196517214015593
2006-07-18,-3.1685412873079866
2006-07-19,-3.0470736047620535
2006-07-20,-2.9796567545736488
2006-07-21,-2.9284370128426342
2006-07-24,-2.843564206129449
2006-07-25,-2.769983768194242
2006-07-26,-2.6545941192412603
2006-07-27,-2.5634491945234705
2006-07-28,-2.4606427218902573
2006-07-31,-2.3432033608561804
2006-08-01,-2.1963951739764545
2006-08-02,-1.9815431300816144
2006-08-03,-1.732060570390475
2006-08-04,-1.489276559962949
2006-08-07,-1.2628161100003816
2006-08-08,-1.0378251160378693
2006-08-09,-0.845851040663062
2006-08-10,-0.6740770849200429
2006-08-11,-0.46216565178858615
2006-08-14,-0.22753481453439495
2006-08-15,0.0010581806397853555
2006-08-16,0.2221312487959406
2006-08-17,0.3739756814228117
2006-08-18,0.4737375572035656
2006-08-21,0.5584620776408007
2006-08-22,0.6387894731252939
2006-08-23,0.7009179001393322
2006-08-24,0.803648513338447
2006-08-25,0.933892034282812
2006-08-28,1.0857349518783308
2006-08-29,1.2140376609525627
2006-08-30,1.368667689566113
2006-08-31,1.5057072097056703
2006-09-01,1.6289721591892183
2006-09-05,1.6894178967036937
2006-09-06,1.7752381105578166
2006-09-07,1.8485199045574165
2006-09-08,1.9096336631541382
2006-09-11,1.9557955561041855
2006-09-12,2.020233414795026
2006-09-13,2.0958238435042595
2006-09-14,2.172895730875723
2006-09-15,2.247847471207562
2006-09-18,2.302995501280711
2006-09-19,2.3000609403920826
2006-09-20,2.2647453815751297
2006-09-21,2.1895788952040856
2006-09-22,2.131285092562631
2006-09-25,2.025560308278129
2006-09-26,1.9404398121536302
2006-09-27,1.854280473360722
2006-09-28,1.798371372311351
2006-09-29,1.757924624430466
2006-10-02,1.7407004274983051
2006-10-03,1.7122246197420368
2006-10-04,1.7093939365329902
2006-10-05,1.7111680024397462
2006-10-06,1.7032709375421058
