Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,1.0201464587317126
2006-07-05,1.0409268888061578
2006-07-06,1.0513826751550317
2006-07-07,1.0661380000004197
2006-07-10,1.0839787524129212
2006-07-11,1.0972136976953188
2006-07-12,1.1207411653355717
2006-07-13,1.1653141306413386
2006-07-14,1.2259983746188392
2006-07-17,1.2932850330911674
2006-07-18,1.3446730471665287
2006-07-19,1.3737948516750427
2006-07-20,1.4091610838309732
2006-07-21,1.4545622837862828
2006-07-24,1.4753195954269394
2006-07-25,1.4991403410419903
2006-07-26,1.519642132998315
2006-07-27,1.544246918486198
2006-07-28,1.561567414373216
2006-07-31,1.5818456652898205
2006-08-01,1.6073426257851138
2006-08-02,1.6210714496823786
2006-08-03,1.6365529618972245
2006-08-04,1.6468181461301534
2006-08-07,1.654382846059699
2006-08-08,1.6671941966779302
2006-08-09,1.6757742791270451
2006-08-10,1.688642487081351
2006-08-11,1.6897212760627878
2006-08-14,1.6895012429903074
2006-08-15,1.6818743133934966
2006-08-16,1.667707780085851
2006-08-17,1.6469751200470562
2006-08-18,1.6169141504788933
2006-08-21,1.5904072700101752
2006-08-22,1.566706321978274
2006-08-23,1.5456484789040046
2006-08-24,1.5321367663483405
2006-08-25,1.5152167102348024
2006-08-28,1.4976324884148358
2006-08-29,1.4803760333179357
2006-08-30,1.4646393208996589
2006-08-31,1.4540593809400646
2006-09-01,1.4363214317710529
2006-09-05,1.4270271360340925
2006-09-06,1.4314422959321267
2006-09-07,1.4357388873104358
2006-09-08,1.4275040074411824
2006-09-11,1.408687715234007
2006-09-12,1.3838452108170578
2006-09-13,1.3558291557128235
2006-09-14,1.336165909891656
2006-09-15,1.3195754365848487
2006-09-18,1.2972015704481736
2006-09-19,1.2732054569422653
2006-09-20,1.246150452829579
2006-09-21,1.2253764740967805
2006-09-22,1.2054271185296903
2006-09-25,1.172289917130503
2006-09-26,1.1251020192837433
2006-09-27,1.0837118645996413
2006-09-28,1.0454916453108711
2006-09-29,1.009834123886553
2006-10-02,0.9776206074144652
2006-10-03,0.9423723427446327
2006-10-04,0.9141983398563835
2006-10-05,0.8878941198583068
2006-10-06,0.8505911553625822
2006-10-09,0.8185203150202902
