Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,-0.284505865164455
2006-07-05,-0.30851316469471224
2006-07-06,-0.31998994020025784
2006-07-07,-0.34900783442197064
2006-07-10,-0.3802202679955684
2006-07-11,-0.41182473495567173
2006-07-12,-0.4512430109080678
2006-07-13,-0.5781849509430635
2006-07-14,-0.6488378661255844
2006-07-17,-0.7158431387513055
2006-07-18,-0.7664841526952114
2006-07-19,-0.7975516656815571
2006-07-20,-0.837019717273369
2006-07-21,-0.8839227880231696
2006-07-24,-0.9155852225257725
2006-07-25,-0.9457491268754068
2006-07-26,-0.9786259089392553
2006-07-27,-1.0088673999475877
2006-07-28,-1.0298926111478637
2006-07-31,-1.0503914198738689
2006-08-01,-1.086332146748324
2006-08-02,-1.108615821082321
2006-08-03,-1.127461391113384
2006-08-04,-1.147402893046357
2006-08-07,-1.1629400589705525
2006-08-08,-1.186094101402106
2006-08-09,-1.2213182590855396
2006-08-10,-1.2619208467009766
2006-08-11,-1.294911572658747
2006-08-14,-1.3299748051510818
2006-08-15,-1.3544733548246142
2006-08-16,-1.3685327955260689
2006-08-17,-1.3845649688320905
2006-08-18,-1.3967600325847465
2006-08-21,-1.4147276887801032
2006-08-22,-1.4345663599813505
2006-08-23,-1.4574652230123164
2006-08-24,-1.485430869810053
2006-08-25,-1.5114071206811392
2006-08-28,-1.5353031242345996
2006-08-29,-1.5577604760391905
2006-08-30,-1.5764578599096306
2006-08-31,-1.5920113406546506
2006-09-01,-1.5977334626550965
2006-09-05,-1.6007352523945344
2006-09-06,-1.609510878632255
2006-09-07,-1.6269578368440596
2006-09-08,-1.6322299927976132
2006-09-11,-1.6303343336931637
2006-09-12,-1.6251294191139105
2006-09-13,-1.612983978775341
2006-09-14,-1.6068813529186863
2006-09-15,-1.6051241383183092
2006-09-18,-1.5911536615638469
2006-09-19,-1.5756723457966992
2006-09-20,-1.5524985346673261
2006-09-21,-1.538644845177537
2006-09-22,-1.529780210478029
2006-09-25,-1.508092512150068
2006-09-26,-1.4657333998752184
2006-09-27,-1.42328352822385
2006-09-28,-1.3869986369588971
2006-09-29,-1.350098041038505
2006-10-02,-1.3158641590779996
2006-10-03,-1.2804153375684941
