Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,0.779694893068109
2006-07-05,0.8271108302026609
2006-07-06,0.8764918476655543
2006-07-07,0.9095545450413816
2006-07-10,0.9415121254933692
2006-07-11,0.9803138298469558
2006-07-12,1.024440626963576
2006-07-13,0.8573341299743327
2006-07-14,0.9249148016756163
2006-07-17,0.9813389035637503
2006-07-18,1.0218806641868343
2006-07-19,1.049492488550561
2006-07-20,1.0818076353225978
2006-07-21,1.1248733950918084
2006-07-24,1.1759604705446518
2006-07-25,1.2178137884540787
2006-07-26,1.2680841997274828
2006-07-27,1.3226321393629972
2006-07-28,1.3608280745018952
2006-07-31,1.4149853649259585
2006-08-01,1.4744983880803155
2006-08-02,1.5444490995474565
2006-08-03,1.6107374997301656
2006-08-04,1.673279352053463
2006-08-07,1.7578879578253168
2006-08-08,1.8360550797046655
2006-08-09,1.9188766718680652
2006-08-10,1.9755217829417673
2006-08-11,2.0341236783892875
2006-08-14,2.0806547394544466
2006-08-15,2.1217731934962574
2006-08-16,2.145320642396845
2006-08-17,2.152009859344258
2006-08-18,2.175184491331312
2006-08-21,2.219457792524896
2006-08-22,2.261813889111966
2006-08-23,2.2947840063273803
2006-08-24,2.330673662706034
2006-08-25,2.365745058025213
2006-08-28,2.3792529810287766
2006-08-29,2.380791779201851
2006-08-30,2.382139745480635
2006-08-31,2.3868290298107837
2006-09-01,2.375173901369247
2006-09-05,2.3646820995479487
2006-09-06,2.3425439767446976
2006-09-07,2.3187494805031355
2006-09-08,2.285730176340059
2006-09-11,2.2500187072032842
2006-09-12,2.1971516348393934
2006-09-13,2.143811314566073
2006-09-14,2.0805404147800504
2006-09-15,2.01944363636405
2006-09-18,1.9707383893905197
2006-09-19,1.9046955259733525
2006-09-20,1.8261286403308918
2006-09-21,1.7598843455379887
2006-09-22,1.691595481105166
2006-09-25,1.6400072445910059
2006-09-26,1.5837764454827392
2006-09-27,1.5450613796857637
2006-09-28,1.5054546054010998
2006-09-29,1.4600235041546321
2006-10-02,1.4086179785755513
2006-10-03,1.3314358739341194
2006-10-04,1.2618493143585285
2006-10-05,1.1978970648947682
2006-10-06,1.134758229009957
2006-10-09,1.0702517529647004
2006-10-10,0.9932363146746224
