Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,-0.6491912935092881
2006-07-05,-0.6980282193155206
2006-07-06,-0.7358971113916786
2006-07-07,-0.7836703641512974
2006-07-10,-0.8361895382621192
2006-07-11,-0.8871227736107634
2006-07-12,-0.9491514789084483
2006-07-13,-1.1540116137120553
2006-07-14,-1.2304566297325203
2006-07-17,-1.3071835434806047
2006-07-18,-1.3672797154837302
2006-07-19,-1.409607273165029
2006-07-20,-1.463528073233626
2006-07-21,-1.5228508674804975
2006-07-24,-1.567943588137382
2006-07-25,-1.6111867739935193
2006-07-26,-1.6579395653789475
2006-07-27,-1.706448502759
2006-07-28,-1.739817453859851
2006-07-31,-1.7698228060196528
2006-08-01,-1.8189116237409082
2006-08-02,-1.8540530907320014
2006-08-03,-1.8875460105222421
2006-08-04,-1.923093411265523
2006-08-07,-1.9552340951360558
2006-08-08,-1.9964749755508853
2006-08-09,-2.0454995774730027
2006-08-10,-2.1007004925459425
2006-08-11,-2.1489303082053444
2006-08-14,-2.19985468402416
2006-08-15,-2.2375844620700187
2006-08-16,-2.2647592570608794
2006-08-17,-2.2911008468190297
2006-08-18,-2.311009487125365
2006-08-21,-2.3424170312296355
2006-08-22,-2.3737029833595176
2006-08-23,-2.4105866671801675
2006-08-24,-2.4503345448301097
2006-08-25,-2.4851113308099486
2006-08-28,-2.5187648752090346
2006-08-29,-2.5483544951686743
2006-08-30,-2.576026941575167
2006-08-31,-2.5967369371668343
2006-09-01,-2.608179445333936
2006-09-05,-2.613405433482182
2006-09-06,-2.629845165423416
2006-09-07,-2.65553980204616
2006-09-08,-2.6673819632208167
2006-09-11,-2.6688431423703025
2006-09-12,-2.6643157184571757
2006-09-13,-2.6525527438747236
2006-09-14,-2.6503741799359752
2006-09-15,-2.657439603153761
2006-09-18,-2.641570950201904
2006-09-19,-2.626105140189596
2006-09-20,-2.602383570149585
2006-09-21,-2.5874538176532553
2006-09-22,-2.577500502391487
2006-09-25,-2.547528292877293
2006-09-26,-2.4922316114652157
2006-09-27,-2.435557488237679
2006-09-28,-2.3842849473194074
2006-09-29,-2.3312775044943397
2006-10-02,-2.285217885257776
2006-10-03,-2.240235923031681
2006-10-04,-2.185567322909481
