Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,0.12297163934871344
2006-07-05,0.12509649738231537
2006-07-06,0.12682200336343838
2006-07-07,0.12809811330432005
2006-07-10,0.12923590138374547
2006-07-11,0.1301390084928239
2006-07-12,0.13106695067600047
2006-07-13,0.12470432259394865
2006-07-14,0.12535861076697
2006-07-17,0.12585018488937083
2006-07-18,0.12724170219011582
2006-07-19,0.12771579643153622
2006-07-20,0.12793604644294218
2006-07-21,0.12835910433619124
2006-07-24,0.128733434317869
2006-07-25,0.1294481884115645
2006-07-26,0.12988779839257047
2006-07-27,0.1303460728603174
2006-07-28,0.13034220741750263
2006-07-31,0.13034454920247057
2006-08-01,0.13029759720278936
2006-08-02,0.13044167646047763
2006-08-03,0.13056494476713312
2006-08-04,0.1300208978878261
2006-08-07,0.12971287992686142
2006-08-08,0.1292845396497431
2006-08-09,0.1290396279443424
2006-08-10,0.12875124146555225
2006-08-11,0.128925101390905
2006-08-14,0.12924280292400311
2006-08-15,0.12900894509430352
2006-08-16,0.12816374219870122
2006-08-17,0.12749246140951767
2006-08-18,0.1265345869644434
2006-08-21,0.12540208192964
2006-08-22,0.12401962899607774
2006-08-23,0.12279959251664946
2006-08-24,0.12125870764333264
2006-08-25,0.11941124296089314
2006-08-28,0.11768402562430214
2006-08-29,0.1159257592433199
2006-08-30,0.11398028909989406
2006-08-31,0.11173953523417594
2006-09-01,0.10960896425024984
2006-09-05,0.10820618301808684
2006-09-06,0.1070128699065406
2006-09-07,0.10574993694170443
2006-09-08,0.10439515008958358
2006-09-11,0.10350213345488918
2006-09-12,0.10242868575657292
2006-09-13,0.10104356945934871
2006-09-14,0.09992525025127716
2006-09-15,0.09888547471787937
2006-09-18,0.09799187113731019
2006-09-19,0.09636595160549866
2006-09-20,0.09468867183529839
2006-09-21,0.09225254742628855
2006-09-22,0.08964707514166996
2006-09-25,0.08645684457178554
2006-09-26,0.08378746183937082
2006-09-27,0.08100397083624326
2006-09-28,0.07827176823089375
2006-09-29,0.07565456146652018
2006-10-02,0.07285967021656274
2006-10-03,0.07033274094967153
2006-10-04,0.06720109402721935
2006-10-05,0.06446779437134563
2006-10-06,0.06298625613322795
2006-10-09,0.061355527604495134
